notion_page_id,notion_url,created_time,last_edited_time,archived,in_trash,Core Problem,Business Model,Region,Type,Pricing,Target User,UX Notes,Main Features,Content Strategy,Benchmark Point,Website/App URL,Strengths,Weaknesses,Priority,Status,Score,Name
38e7fcdc-6320-81ae-ab45-cebd3927b9e9,https://app.notion.com/p/Journey-38e7fcdc632081aeab45cebd3927b9e9,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,Need a cross-platform private journal and life log.,Freemium; Subscription,Global,App,Needs current pricing verification.,People who want personal journaling across devices.,Good reference for multi-platform journaling infrastructure.,"Journal, sync, photo/location, templates, cross-platform support.",Journaling and personal growth content.,Cross-platform daily reflection system.,https://journey.cloud/,Cross-platform journaling ecosystem.,Less directly tied to habits/digital detox.,Low,To Review,60,Journey
38e7fcdc-6320-81b8-94dd-ceb0703841c5,https://app.notion.com/p/Finch-38e7fcdc632081b894ddceb0703841c5,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,"Self-care feels hard, lonely, or emotionally heavy.",Freemium; Subscription,Global,App,Freemium / subscription. Needs current verification.,"People seeking gentle self-care, mental wellness, and motivation.",Indirectly motivates self-care through character relationship.,"Virtual pet, self-care tasks, reflections, mood, quests, encouragement.",Very strong character/storytelling potential.,Use character care to support human self-care.,https://finchcare.com/,Self-care via caring for a character; strong emotional attachment.,Cute/pet style may not fit every target segment.,High,Useful,89,Finch
38e7fcdc-6320-81b9-9856-f205aefa3770,https://app.notion.com/p/Sleep-Cycle-38e7fcdc632081b99856f205aefa3770,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,Poor sleep awareness and waking at bad times.,Freemium; Subscription,Global,App,Freemium / premium. Needs current verification.,People trying to understand and improve sleep quality.,Sleep score creates measurable recovery loop.,"Sleep tracking, smart alarm, sleep statistics, trends, sounds.",Sleep education and routine content potential.,Convert sleep data into daily planning insights.,https://www.sleepcycle.com/,Strong sleep analytics and daily routine relevance.,Sleep-focused; needs integration with daytime meaning/routine.,Medium,Reviewed,78,Sleep Cycle
38e7fcdc-6320-81bb-a7f5-c932a44e7bce,https://app.notion.com/p/ScreenZen-38e7fcdc632081bba7f5c932a44e7bce,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,"Mindless scrolling, excessive screen time, and phone use in bed.",Freemium,Global,App,Needs verification.,"People who want a calmer, less compulsive phone relationship.",Targets context-specific phone habits such as bed use.,"App limits, pause, intervention, screen-time control, sleep/bedtime support.","Good for sleep, morning routine, and bedtime phone content.","Context-aware digital detox, especially bedtime phone use.",https://screenzen.co/,Clear link between screen time and sleep/bed habits.,Needs deeper review on monetization and retention.,Medium,Reviewed,78,ScreenZen
38e7fcdc-6320-81be-95be-e58cd6765627,https://app.notion.com/p/Freedom-38e7fcdc632081be95bee58cd6765627,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,"Cross-device digital distraction from apps, websites, and internet access.",Subscription,Global,App,Subscription. Needs current pricing verification in deep dive.,"Students, writers, professionals, and remote workers needing strict blocking.",Heavy-duty blocker rather than life-design product.,"Website/app blocking, sessions, schedules, locked mode, cross-device support.",Productivity and deep work content angle.,Cross-device blocking and locked-mode commitment design.,https://freedom.to/,Powerful multi-device blocking; strong productivity positioning.,More functional than emotional; can feel strict.,Medium,Reviewed,80,Freedom
38e7fcdc-6320-81c4-a4a1-f8c4f04ac8f8,https://app.notion.com/p/DailyBean-38e7fcdc632081c4a4a1f8c4f04ac8f8,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,Daily journaling and mood tracking feels too effortful.,Freemium; Subscription,Global,App,Needs verification.,"People who prefer cute, icon-based daily check-ins.",Korean/Asian cute UX references may be highly relevant.,"Mood tracking, activity icons, calendar, simple daily record.",Strong fit for visual social content and daily recap posts.,Cute icon-based daily reflection UX.,https://dailybean.app/,"Cute, low-friction daily mood logging.",May remain as a simple diary without deeper intervention.,Medium,Reviewed,83,DailyBean
38e7fcdc-6320-81cb-8410-c14923eff138,https://app.notion.com/p/RISE-38e7fcdc632081cb8410c14923eff138,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,"People do not understand sleep debt, energy timing, and daily performance.",Subscription,Global,App,Subscription. Needs current verification.,"People wanting better energy, sleep, and daily planning.",Energy forecast can influence when to do meaningful tasks.,"Sleep debt, circadian energy schedule, habit recommendations, sleep tracking.",Strong for 'plan your day by your energy' education.,Use body rhythm and energy to design the day.,https://www.risescience.com/,Connects sleep to daily energy and behavior planning.,Sleep/energy specific; may need broader habit layer for LifeOS.,High,Useful,89,RISE
38e7fcdc-6320-81cb-a800-d7412611deeb,https://app.notion.com/p/Sunsama-38e7fcdc632081cba800d7412611deeb,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,Busy knowledge workers overplan and burn out.,Subscription,Global,App,Premium subscription. Needs current verification.,Professionals seeking calm daily planning and sustainable productivity.,Planning is framed as a mindful daily ritual.,"Daily planning ritual, task integrations, calendar planning, shutdown routine.",Good for 'slow productivity' and burnout prevention content.,Daily planning ritual and sustainable productivity positioning.,https://www.sunsama.com/,Strong slow-productivity and daily ritual positioning.,B2B/knowledge-worker tone may be less Gen Z/gat-saeng friendly.,Medium,Reviewed,84,Sunsama
38e7fcdc-6320-81d2-b3b9-e0cce2294ca5,https://app.notion.com/p/Forest-38e7fcdc632081d2b3b9e0cce2294ca5,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,Smartphone distraction and lack of focus during study/work sessions.,Freemium; Subscription,Global,App,Freemium / premium features. Needs updated pricing verification in deep dive.,"Students, workers, and people who want to reduce phone use while focusing.",Focus behavior is converted into visible growth and loss aversion.,"Focus timer, virtual tree growth, forest collection, social focus, phone-use friction.",Highly visual and shareable; tree/forest metaphor works well for social content.,Turn digital restraint into visible growth assets.,https://forestapp.cc/,"Strong visual metaphor, simple behavior loop, emotional reward.",Mostly session-based; does not fully manage broader life routines.,High,Useful,95,Forest
38e7fcdc-6320-81d4-9359-cda281a05c9c,https://app.notion.com/p/Brain-fm-38e7fcdc632081d49359cda281a05c9c,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,"Difficulty entering focus, relaxation, or sleep states.",Subscription,Global,App,Subscription. Needs current pricing verification.,"People who use sound to support focus, sleep, or meditation.",Focus aid is ambient and low-effort.,"Functional music for focus, relaxation, meditation, sleep.",Good for productivity soundscape and study-with-me content.,"Support behavior through environment design, not only willpower.",https://www.brain.fm/,Alternative to blocking: optimize environment with sound.,Does not directly manage habits or routines.,Medium,Reviewed,76,Brain.fm
38e7fcdc-6320-81da-8628-e27dae77a061,https://app.notion.com/p/Reclaim-38e7fcdc632081da8628e27dae77a061,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,"Tasks, habits, and meetings do not fit into calendars automatically.",Freemium; Subscription; B2B,Global,App,Freemium / paid plans. Needs current verification.,Professionals and teams needing automated scheduling.,Good benchmark for automatic habit scheduling.,"AI scheduling, habits, tasks, calendar blocking, team availability.",B2B productivity and calendar automation content.,Automatically place habits into the calendar.,https://www.reclaim.ai/,Automatically schedules habits/tasks into available time.,More work calendar than personal meaning system.,Medium,Reviewed,77,Reclaim
38e7fcdc-6320-81e3-8927-ce7fd0091100,https://app.notion.com/p/one-sec-38e7fcdc632081e38927ce7fd0091100,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,Impulse opening of distracting apps and social media.,Freemium; Subscription,Global,App,Freemium / Pro. Needs current pricing verification in deep dive.,Users who want to reduce compulsive app-checking without full blocking.,The core UX is a mindful interruption at the exact moment of impulse.,"Pause before app open, breathing, intention check, intervention UX.",Great for short-form content: 'what if Instagram asked you why?',Use friction UX to interrupt unconscious digital behavior.,https://one-sec.app/,Behaviorally elegant; adds friction instead of total prohibition.,May not solve deeper routine or meaning problems by itself.,High,Useful,94,one sec
38e7fcdc-6320-81e7-83ab-e8af1d07841d,https://app.notion.com/p/Habitica-38e7fcdc632081e783abe8af1d07841d,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,Habit tracking and to-do management lacks motivation.,Freemium; Subscription; Community Membership,Global,App,Freemium / subscription / in-app items. Needs verification.,"Gamers, students, and people motivated by RPG-style rewards.",Externalizes self-management into character progression.,"Tasks, habits, RPG avatar, quests, party/guild mechanics.",Good for gamified habit and quest-based challenge content.,Turn daily habits into quests and character growth.,https://habitica.com/,Strong gamification and community mechanics.,RPG style can be niche or visually dated for mainstream users.,Medium,Reviewed,82,Habitica
38e7fcdc-6320-81ed-9032-caa4788d5a17,https://app.notion.com/p/Pomofocus-38e7fcdc632081ed9032caa4788d5a17,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,Need for a simple Pomodoro timer and task focus flow.,Freemium,Global,App,Needs verification; lightweight web product.,Students and workers who want a lightweight focus timer.,Good reference for minimum viable focus tool.,"Pomodoro timer, task list, simple web interface.",Useful as MVP simplicity benchmark.,Keep first focus tool simple and fast.,https://pomofocus.io/,Extreme simplicity and low friction.,Limited differentiation and low defensibility.,Low,To Review,60,Pomofocus
38e7fcdc-6320-81f6-8615-ff43d2d8797c,https://app.notion.com/p/Headspace-38e7fcdc632081f68615ff43d2d8797c,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,"Stress, sleep, anxiety, and mental wellness need accessible daily support.",Subscription; B2B,Global,Company,Subscription / enterprise. Needs current verification.,"Consumers, employees, organizations, and mental wellness users.",Content-led wellness platform rather than just a utility app.,"Meditation, sleep, mindfulness, coaching, mental health content, B2B.",Excellent app + content + B2B model benchmark.,Expand from consumer wellbeing content to B2B wellness platform.,https://www.headspace.com/,"Strong brand, content library, B2B expansion, mental wellness credibility.",Large incumbent; not directly focused on digital detox/gat-saeng.,High,Useful,88,Headspace
38e7fcdc-6320-81f8-b82c-ea61764dc7e0,https://app.notion.com/p/Akiflow-38e7fcdc632081f8b82cea61764dc7e0,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,Tasks are scattered across tools and not connected to calendar time.,Subscription,Global,App,Subscription. Needs current verification.,Productivity-focused professionals and time-blocking users.,Time-blocking workflow is useful for LifeOS planning ideas.,"Universal inbox, task integrations, calendar time blocking, command bar.",Time-blocking and productivity workflow content.,Capture tasks and convert them into scheduled blocks.,https://akiflow.com/,Clear workflow from capture to calendar execution.,Power-user focused; may be too complex for mainstream self-care.,Medium,Reviewed,74,Akiflow
38e7fcdc-6320-81fd-91bd-df8d78e091f7,https://app.notion.com/p/RescueTime-38e7fcdc632081fd91bddf8d78e091f7,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,Lack of visibility into how time is spent on devices.,Subscription; B2B,Global,App,Subscription / team plans. Needs current pricing verification.,"Knowledge workers, freelancers, students, and productivity-focused users.",Passive tracking reduces manual input burden.,"Automatic time tracking, focus sessions, goals, reports, alerts.","Good for time audit, productivity, and deep work education.",Turn passive digital behavior data into self-awareness and action.,https://www.rescuetime.com/,Data-driven awareness and long-term time analytics.,Can feel analytical rather than emotionally motivating.,Medium,Reviewed,82,RescueTime
38e7fcdc-6320-81fd-aa1e-e31c46a7c5f5,https://app.notion.com/p/Jomo-38e7fcdc632081fdaa1ee31c46a7c5f5,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,Bad screen time and compulsive digital habits.,Freemium; Subscription,Global,App,Needs current pricing verification.,People looking for a more positive digital detox experience.,Brand angle is softer and more lifestyle-oriented than strict blockers.,"Screen-time limits, app blocking, digital wellbeing tools.",Strong lifestyle message: missing out online to live offline.,Reframe digital detox from deprivation to joy.,https://jomo.so/,Positive emotional framing: Joy of Missing Out.,Needs deeper product differentiation review against Opal/one sec.,High,Useful,88,Jomo
38e7fcdc-6320-81fe-bc1a-cf365d3fbc88,https://app.notion.com/p/Streaks-38e7fcdc632081febc1acf365d3fbc88,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,Need motivation to maintain repeated habits.,One-time Purchase,Global,App,Needs current pricing verification.,iOS users who like streak-based motivation.,Strong lesson in continuity and visible progress.,"Habit tasks, streaks, Apple Health integration, widgets.","Streaks are easy to explain, but can be psychologically harsh.",Use streaks carefully; consider recovery-based alternatives.,https://streaksapp.com/,Clear streak mechanic and simple iOS-native feel.,Streak pressure can create guilt after failure.,Low,To Review,66,Streaks
38e7fcdc-6320-81ff-9313-e0c8ef03e47f,https://app.notion.com/p/Opal-38e7fcdc632081ff9313e0c8ef03e47f,2026-06-29T14:40:00.000Z,2026-06-29T14:40:00.000Z,,False,Uncontrolled screen time and distracting app use.,Freemium; Subscription,Global,App,Freemium / Pro. Needs current pricing verification in deep dive.,People who want stronger screen time control and focus automation.,Turns digital wellness into measurable score and rule system.,"App blocking, focus rules, screen time analytics, Opal Score.",Strong for digital detox and screen time reduction content.,Score-based digital wellness and modern app-blocking UX.,https://www.opal.so/,"Strong modern positioning, score-based digital wellness, automation.",May feel restrictive for users who dislike blocking tools.,High,Useful,94,Opal
